Year,Urban,Pollution
2008,Index[0],0.779260552
2008,Index[1],0.7236987965
2008,Index[2],0.822378091
2008,Index[3],1.243951782333333
2009,Index[0],0.3674318095
2009,Index[1],0.6980327155
2009,Index[2],0.429355751
2009,Index[3],2.0593854006666668
2010,Index[0],0.15713992559999998
2010,Index[1],0.43692145374999997
2010,Index[2],1.489659376125
2010,Index[3],4.7352463051600004
2011,Index[0],1.047030837
2011,Index[1],0.5234044912857143
2011,Index[2],2.9582857863749994
2011,Index[3],6.817100587440004
2012,Index[0],0.88674751725
2012,Index[1],1.8674955366249997
2012,Index[2],1.9057991390000002
2012,Index[3],11.445671108590908
2013,Index[0],0.7920623450000001
2013,Index[1],0.80675230075
2013,Index[2],1.385847905666667
2013,Index[3],7.1929494361111095
2014,Index[0],0.8505029626666666
2014,Index[1],0.8586441823749998
2014,Index[2],0.676055953875
2014,Index[3],6.930079778576923
2015,Index[0],0.307127809
2015,Index[1],1.0627779798
2015,Index[2],1.4240272588
2015,Index[3],6.222367531846156
